Sentences,POS tags
"भाइयों और बहनों, हमने दिखाया है कि Renewable Energy के मामले में Developing World का कोई देश भी Lead ले सकता है।","[{'word': 'भाइयों', 'label': 'noun'}, {'word': 'और', 'label': 'noun'}, {'word': 'बहनों', 'label': 'part'}, {'word': ' हमने', 'label': 'propn'}, {'word': 'दिखाया', 'label': 'adj'}, {'word': 'है', 'label': 'adj'}, {'word': 'कि', 'label': 'adj'}, {'word': 'Renewable Energy', 'label': 'noun'}, {'word': 'के', 'label': 'propn'}, {'word': 'मामले ', 'label': 'adj'}, {'word': 'में', 'label': 'conj'}, {'word': 'Developing World', 'label': 'noun'}, {'word': 'का कोई', 'label': 'pron'}, {'word': 'भी', 'label': 'part'}, {'word': 'Lead', 'label': 'pron_wh'}, {'word': 'ले', 'label': 'part'}, {'word': 'सकता है', 'label': 'verb'}]"
"ये Start up, Food Processing से जुड़े हैं, Artificial Intelligence, Internet of things, खेती से जुड़े स्मार्ट उपकरण के निर्माण और रिन्यूएबल एनर्जी से जुड़े हैं।","[{'word': 'ये', 'label': 'pron'}, {'word': 'Start up', 'label': 'noun'}, {'word': 'Food Processing', 'label': 'noun'}, {'word': 'से', 'label': 'part'}, {'word': 'जुड़े', 'label': 'pron_wh'}, {'word': 'से', 'label': 'adj'}, {'word': 'हैं', 'label': 'det'}, {'word': 'Artificial Intelligence', 'label': 'propn'}, {'word': 'Internet of things', 'label': 'propn'}, {'word': 'खेती ', 'label': 'verb'}, {'word': 'से जुड़े ', 'label': 'det'}, {'word': 'स्मार्ट उपकरण', 'label': 'noun'}, {'word': ' के', 'label': 'det'}, {'word': 'निर्माण ', 'label': 'verb'}, {'word': 'और', 'label': 'conj'}, {'word': 'रिन्यूएबल एनर्जी', 'label': 'noun'}, {'word': 'से', 'label': 'det'}, {'word': 'हैं', 'label': 'adj'}, {'word': 'जुड़े', 'label': 'adj'}]"
हम अपने Quad partners के साथ भी इंडो-पेसिफिक क्षेत्र में बेहतर और किफायती Covid-19 वैक्सीन की आपूर्ति करने के लिए काम कर रहे हैं।,"[{'word': 'Quad partners', 'label': 'noun'}, {'word': 'बेहतर', 'label': 'adj'}, {'word': 'किफायती', 'label': 'adj'}, {'word': 'Covid-19', 'label': 'noun'}, {'word': 'वैक्सीन', 'label': 'noun'}, {'word': 'आपूर्ति करने', 'label': 'verb'}, {'word': 'काम कर रहे', 'label': 'verb'}, {'word': 'हम अपने', 'label': 'pron'}, {'word': 'और', 'label': 'conj'}, {'word': 'के लिए', 'label': 'det'}, {'word': 'हैं', 'label': 'verb'}, {'word': 'काम कर रहे हैं', 'label': 'verb'}, {'word': 'के साथ भी', 'label': 'det'}, {'word': 'क्षेत्र में ', 'label': 'noun'}, {'word': 'की', 'label': 'det'}]"
"इसलिए हमने गांव के अस्पतालों से लेकर मेडिकल कॉलेज और AIIMS जैसे संस्थानों तक, एक integrated approach के साथ काम शुरु किया है।","[{'word': 'गांव', 'label': 'noun'}, {'word': 'अस्पतालों', 'label': 'noun'}, {'word': 'काम शुरु किया है।', 'label': 'verb'}, {'word': 'से लेकर', 'label': 'verb'}, {'word': 'और', 'label': 'conj'}, {'word': 'के साथ', 'label': 'det'}, {'word': ' के ', 'label': 'det'}, {'word': 'इसलिए', 'label': 'adj'}, {'word': 'हमने', 'label': 'pron'}, {'word': 'जैसे', 'label': 'adj'}, {'word': 'तक, एक', 'label': 'part'}]"
"पहले जिन छोटे-छोटे टेस्ट को कराने के लिए शहरों तक पहुंचना पड़ता था, वो टेस्ट अब इन Health and Wellness Centre पर उपलब्ध हो रहे हैं।","[{'word': ' टेस्ट ', 'label': 'noun'}, {'word': 'टेस्ट', 'label': 'noun'}, {'word': 'उपलब्ध हो रहे हैं।', 'label': 'verb'}, {'word': 'तक', 'label': 'adp'}, {'word': 'पर ', 'label': 'adp'}, {'word': 'पहले जिन ', 'label': 'adj'}, {'word': 'छोटे-छोटे', 'label': 'adj'}, {'word': ' कराने के लिए ', 'label': 'adv'}, {'word': 'शहरों', 'label': 'noun'}, {'word': 'पहुंचना पड़ता था,', 'label': 'verb'}, {'word': 'को', 'label': 'adj'}, {'word': 'वो', 'label': 'det'}, {'word': 'अब इन', 'label': 'det'}]"
आज विश्‍व में Peace keeping Force United Nations से जुड़ा हुआ कोई भी हिन्‍दुस्‍तानी गर्व कर सकता है।,"[{'word': 'हिन्\u200dदुस्\u200dतानी ', 'label': 'pron'}, {'word': 'कर सकता है।', 'label': 'verb'}, {'word': 'जुड़ा हुआ ', 'label': 'verb'}, {'word': 'कोई भी', 'label': 'det'}, {'word': 'में ', 'label': 'det'}, {'word': 'आज विश्\u200dव', 'label': 'noun'}, {'word': 'गर्व', 'label': 'pron_wh'}]"
"भाइयो और बहनों, भारत उत्‍तर-पूर्व के राज्‍यों को South-East Asia को Gateway मानता है।","[{'word': 'भारत उत्\u200dतर-पूर्व', 'label': 'noun'}, {'word': 'राज्\u200dयों ', 'label': 'noun'}, {'word': ' के ', 'label': 'det'}, {'word': 'को', 'label': 'det'}, {'word': 'भाइयो और बहनों,', 'label': 'propn'}, {'word': 'मानता है।', 'label': 'verb'}, {'word': 'को', 'label': 'det'}]"
हमने Sittwe Port तदा Paletwa inland water terminalपर भी काम पूरा करके Kaladan project में निरंतर और प्रत्‍यक्ष प्रगति की है।,"[{'word': 'हमने ', 'label': 'propn'}, {'word': 'तदा', 'label': 'conj'}, {'word': 'काम पूरा करके ', 'label': 'verb'}, {'word': 'प्रगति की है', 'label': 'verb'}, {'word': 'में निरंतर और प्रत्\u200dयक्ष ', 'label': 'adv'}, {'word': 'पर भी ', 'label': 'det'}]"
"मध्य प्रदेश के सिंगरौली की शिक्षिका, उषा दुबे जी ने तो scooty को ही mobile library में बदल दिया।","[{'word': 'scooty ', 'label': 'noun'}, {'word': 'mobile library ', 'label': 'propn'}, {'word': 'के', 'label': 'det'}, {'word': 'की', 'label': 'det'}, {'word': 'शिक्षिका', 'label': 'propn'}, {'word': 'ने तो', 'label': 'verb'}, {'word': 'को ही', 'label': 'det'}, {'word': 'में बदल दिया।', 'label': 'verb'}]"
इस साल अगस्त में अरुणाचल प्रदेश के निरजुली के Rayo Village में एक Self Help Library बनाई गई है।,"[{'word': 'इस साल', 'label': 'adj'}, {'word': 'अगस्त में', 'label': 'noun'}, {'word': 'नाई गई है।', 'label': 'verb'}, {'word': 'बनाई गई है।', 'label': 'det'}, {'word': 'के', 'label': 'det'}, {'word': 'में एक', 'label': 'adp'}]"
